"","Cliente_Id","Sexo","Estrato","Grupo_valor","Rango_ingresos_acum","Nivel_estudio","Estado_civil","Departamento","Edad","Hijos","Franquicia","canal","origen","Monto_transado","Reclamos","cnt_trx_201706","cnt_trx_201707","cnt_trx_201708","cnt_trx_201709","cnt_trx_201710","cnt_trx_201711","cnt_trx_201712","cnt_trx_201801","cnt_trx_201802","cnt_trx_201803","cnt_trx_201804","cnt_trx_201805","cnt_trx_201806","cnt_trx_201807","cnt_trx_201808","cnt_trx_201809","cnt_trx_201810","cnt_trx_201811","cnt_trx_201812","cnt_trx_201901","cnt_trx_201902","cnt_trx_201903","cnt_trx_201904","cnt_trx_201905","cnt_trx_201906","Total_trx","Grupo_cluster"
"427",1229348,"M",6,"Alto",49500000,"Pregrado","SOLTERO","BOGOTA D.C.",44,"0","AMEX","I","Nacional",4107989,2,3,7,8,4,5,11,7,5,6,7,5,2,9,11,34,7,4,4,9,4,2,5,2,3,3,167,1
"428",7845287,"F",5,"Alto",42000000,"Maestria","CASADO","VALLE DEL CAUCA",44,"0","AMEX","I","Nacional",29496734,2,18,19,4,8,8,4,7,9,11,8,7,9,8,6,15,10,20,14,21,32,3,10,4,0,0,255,1
"429",15690574,"M",4,"Alto",34500000,"Maestria","CASADO","VALLE DEL CAUCA",44,"0","AMEX","I","Nacional",5490369,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"430",7988887,"F",4,"Alto",27000000,"Especializacion","CASADO","VALLE DEL CAUCA",44,"2","MASTER","P","Nacional",11291283,3,8,21,28,25,10,0,0,1,1,1,12,38,47,53,52,8,8,23,43,27,26,2,11,8,11,464,1
"431",15076919,"F",6,"Alto",25500000,"Maestria","CASADO","BOGOTA D.C.",44,"0","AMEX","I","Nacional",18289650,2,5,2,5,12,1,4,4,8,1,5,3,5,9,4,3,3,3,4,5,5,8,15,1,0,1,116,1
"432",10236853,"M",6,"Alto",24000000,"Maestria","SOLTERO","VALLE DEL CAUCA",44,"0","AMEX","I","Nacional",18541567,2,20,18,18,14,8,24,24,12,11,3,0,5,41,2,2,1,6,32,41,9,5,17,71,95,124,603,1
"433",3909113,"F",5,"Alto",22500000,"Especializacion","CASADO","ANTIOQUIA",44,"0","VISA","P","Internacional",7418515,3,2,2,1,3,0,1,1,1,2,3,2,1,5,2,2,1,1,7,5,5,9,4,3,2,4,69,1
"434",4600624,"M",6,"Alto",21000000,"Pregrado","UNION LIBRE","BOGOTA D.C.",44,"0","VISA","I","Nacional",3233444,2,5,1,3,0,2,4,5,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2
"435",830278,"F",4,"Alto",19500000,"Especializacion","SOLTERO","VALLE DEL CAUCA",44,"0","MASTER","P","Nacional",3330504,3,4,31,4,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2
"436",8288546,"M",6,"Alto",18450000,"Especializacion","CASADO","ANTIOQUIA",44,"0","VISA","P","Internacional",83378821,3,5,1,1,3,2,1,1,1,1,2,2,1,1,1,1,1,4,1,1,2,1,1,1,1,1,38,3
"437",14728217,"F",5,"Alto",18000000,"Especializacion","CASADO","BOGOTA D.C.",44,"2","VISA","P","Nacional",70698040,2,3,4,5,6,5,3,5,5,5,2,4,5,6,6,3,3,6,5,5,2,5,2,3,5,5,108,3
"438",8355085,"F",4,"Alto",15000000,"Especializacion","CASADO","BOGOTA D.C.",44,"0","VISA","P","Nacional",1004355,2,3,1,25,3,4,1,2,2,6,2,1,0,0,0,4,0,0,0,0,3,0,1,1,3,2,64,2
"439",7963601,"M",4,"Alto",15000000,"Especializacion","CASADO","VALLE DEL CAUCA",44,"0","AMEX","I","Nacional",63686384,3,18,18,21,15,8,25,19,14,19,29,20,31,22,33,8,15,19,24,14,22,18,25,26,19,15,497,3
"440",11611738,"M",5,"Alto",15000000,"Especializacion","SOLTERO","ANTIOQUIA",44,"0","VISA","P","Internacional",10096128,3,24,34,11,8,18,11,10,33,14,27,32,38,69,60,32,32,27,36,40,36,28,30,26,28,40,744,2
"441",12485614,"M",6,"Alto",13500000,"Maestria","CASADO","BOGOTA D.C.",44,"0","VISA","P","Nacional",3124334,2,4,1,2,1,1,1,0,1,5,2,1,6,1,2,1,6,2,3,2,1,0,2,12,4,2,63,2
"442",463794,"F",6,"Alto",9000000,"Especializacion","SOLTERO","ANTIOQUIA",44,"0","VISA","P","Nacional",6182345,3,2,7,6,13,12,12,13,17,7,10,6,1,1,3,1,1,2,2,1,2,1,1,3,3,2,129,2
"443",47215036,"M",4,"Alto",9000000,"Pregrado","CASADO","BOGOTA D.C.",44,"1","AMEX","I","Nacional",22522510,2,7,8,16,10,7,7,10,10,14,13,15,12,11,16,18,16,15,13,0,0,0,1,0,0,1,220,2
"444",11938723,"F",4,"Alto",9000000,"Especializacion","CASADO","ANTIOQUIA",44,"0","VISA","P","Internacional",70942543,3,6,4,5,1,6,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3
"445",7675993,"M",4,"Alto",6000000,"Especializacion","SOLTERO","BOGOTA D.C.",44,"0","VISA","P","Internacional",4740541,3,4,7,2,5,2,4,3,8,7,15,15,8,3,17,3,5,11,1,0,0,0,0,0,0,0,120,2
"446",15389874,"F",6,"Alto",5850000,"Pregrado","SOLTERO","BOGOTA D.C.",44,"0","VISA","I","Nacional",2142304,2,5,2,2,2,6,2,3,1,2,3,2,4,5,8,4,5,5,3,4,1,1,7,1,1,4,83,2
"447",14190380,"F",6,"Alto",3600000,"Especializacion","SOLTERO","ANTIOQUIA",44,"0","VISA","P","Internacional",2125589,3,1,5,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,5,32,2
"448",3954383,"M",5,"Alto",3600000,"Especializacion","CASADO","BOGOTA D.C.",44,"0","VISA","I","Nacional",555234,2,1,1,1,0,7,1,1,1,4,2,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,29,2
"449",10984482,"F",4,"Alto",3600000,"Especializacion","CASADO","ANTIOQUIA",44,"0","VISA","P","Internacional",1650053,3,1,28,14,7,27,15,22,40,26,25,15,10,26,13,22,48,34,52,13,17,23,21,22,1,0,522,2
"450",2926915,"M",4,"Alto",3600000,"Especializacion","CASADO","BOGOTA D.C.",44,"0","VISA","I","Nacional",634967,2,4,6,18,6,0,13,10,0,2,7,19,0,7,3,3,9,18,1,0,0,0,0,0,0,0,126,2
"451",15049023,"M",6,"Alto",3600000,"Pregrado","SOLTERO","BOGOTA D.C.",44,"0","VISA","I","Nacional",2196924,2,1,4,6,1,1,1,3,1,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,26,2
"452",920675,"F",4,"Medio",3000000,"tecnico","SOLTERO","ANTIOQUIA",44,"0","VISA","P","Internacional",3427682,3,2,3,3,1,2,3,3,1,3,12,1,1,3,0,1,3,7,2,2,1,2,1,0,1,1,59,2
"453",22744613,"M",3,"Emergente",600000,"Bachiller","CASADO","ANTIOQUIA",44,"0","MASTER","P","Nacional",1874897,3,2,3,8,2,5,8,2,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2
"454",7103795,"F",5,"Alto",31500000,"Especializacion","CASADO","ANTIOQUIA",43,"0","VISA","P","Internacional",6652392,3,10,2,1,3,2,4,1,1,3,9,2,3,1,3,3,1,3,1,1,1,1,10,3,1,5,75,1
"455",15824161,"M",5,"Alto",27000000,"Especializacion","CASADO","ANTIOQUIA",43,"0","VISA","P","Internacional",12307724,3,21,34,13,12,1,3,1,1,1,1,1,1,1,3,5,0,0,9,18,4,0,3,0,1,0,134,1
"456",70760,"M",6,"Alto",27000000,"Maestria","SOLTERO","BOGOTA D.C.",43,"0","AMEX","I","Nacional",13141924,2,18,15,13,16,17,16,17,21,12,40,22,29,18,42,6,3,0,0,0,0,0,0,0,0,0,305,1
"457",6989641,"M",6,"Alto",27000000,"Especializacion","CASADO","ANTIOQUIA",43,"0","VISA","P","Internacional",76578858,3,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3
"458",9062563,"M",5,"Alto",25500000,"Pregrado","CASADO","BOGOTA D.C.",43,"0","AMEX","I","Nacional",9461055,2,19,11,11,12,13,22,23,21,19,22,47,26,17,22,26,16,18,19,27,34,19,24,29,27,27,551,1
"459",8664900,"M",5,"Alto",24000000,"Maestria","CASADO","BOGOTA D.C.",43,"1","AMEX","I","Nacional",37226542,2,5,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
"460",4974286,"F",6,"Alto",22500000,"Especializacion","CASADO","ANTIOQUIA",43,"0","VISA","P","Internacional",8917341,3,1,2,1,0,1,2,2,4,4,2,3,13,1,3,1,14,8,0,1,4,1,3,15,0,2,88,1
"461",18331513,"F",6,"Alto",22500000,"Especializacion","SOLTERO","ANTIOQUIA",43,"0","VISA","P","Internacional",4716630,3,11,4,2,0,0,16,0,0,0,0,0,0,3,1,1,1,2,1,0,0,1,1,1,0,0,45,2
"462",5515814,"M",4,"Alto",22500000,"Especializacion","UNION LIBRE","BOGOTA D.C.",43,"0","VISA","P","Nacional",15668069,2,1,2,2,0,0,1,2,0,0,0,0,0,1,2,0,0,2,1,0,0,2,0,0,0,0,16,1
"463",29721061,"F",5,"Alto",19500000,"Especializacion","SOLTERO","VALLE DEL CAUCA",43,"2","MASTER","I","Nacional",53210222,3,28,16,18,11,8,8,7,4,5,16,10,11,8,20,9,11,10,22,14,28,17,2,1,0,0,284,3
"464",11546545,"F",6,"Alto",18000000,"Especializacion","CASADO","ANTIOQUIA",43,"0","VISA","P","Internacional",23033176,3,16,21,13,17,20,15,15,8,10,24,28,32,32,24,16,18,28,27,71,6,0,0,0,0,0,441,1
"465",7809988,"F",5,"Alto",18000000,"Pregrado","SOLTERO","BOGOTA D.C.",43,"0","VISA","P","Nacional",4171285,2,21,26,10,8,16,8,2,0,20,18,18,12,21,4,4,0,17,0,0,23,2,36,4,20,14,304,2
"466",14537063,"M",6,"Alto",15000000,"Maestria","SOLTERO","BOGOTA D.C.",43,"0","VISA","P","Nacional",3441614,2,6,17,12,4,6,14,8,19,11,16,3,5,9,21,13,22,14,23,25,3,12,8,12,13,14,310,2
"467",28661781,"F",5,"Alto",12000000,"Especializacion","SOLTERO","ANTIOQUIA",43,"4","VISA","P","Internacional",1421238,3,5,11,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2
"468",4093436,"F",4,"Alto",9000000,"Especializacion","SOLTERO","ANTIOQUIA",43,"0","VISA","P","Internacional",5514317,3,4,15,10,11,11,17,11,7,8,5,1,1,6,7,15,16,31,27,16,13,5,0,0,10,3,250,2
"469",7536288,"F",5,"Alto",9000000,"Maestria","CASADO","BOGOTA D.C.",43,"0","AMEX","I","Nacional",34581427,2,9,22,11,10,19,25,3,12,36,3,8,34,38,28,27,12,39,11,6,12,6,28,4,8,9,420,2
"470",6691776,"F",4,"Alto",7500000,"Maestria","CASADO","BOGOTA D.C.",43,"0","VISA","P","Nacional",347086,2,15,21,16,24,10,19,17,10,12,25,13,8,29,74,74,69,78,50,31,22,22,31,31,29,17,747,2
"471",15658844,"M",5,"Alto",7500000,"Especializacion","UNION LIBRE","ANTIOQUIA",43,"0","VISA","P","Internacional",29522791,3,3,2,4,3,3,7,9,7,9,13,12,10,6,4,5,6,5,4,4,4,3,3,5,5,5,141,2
"472",15834174,"M",6,"Alto",6000000,"Especializacion","CASADO","VALLE DEL CAUCA",43,"0","MASTER","P","Nacional",2313970,3,2,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
"473",3397153,"M",5,"Alto",5850000,"Especializacion","SOLTERO","BOGOTA D.C.",43,"0","VISA","P","Nacional",5869740,2,4,14,6,3,4,5,11,19,6,9,21,4,21,7,9,0,0,3,4,2,8,1,1,1,0,163,2
"474",10481597,"F",4,"Alto",5850000,"Especializacion","CASADO","VALLE DEL CAUCA",43,"0","MASTER","P","Nacional",47026612,3,7,1,3,14,8,3,15,12,14,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,86,3
"475",3914476,"F",5,"Alto",5400000,"Maestria","UNION LIBRE","BOGOTA D.C.",43,"0","AMEX","I","Nacional",2580341,2,4,1,5,5,2,0,0,4,1,0,0,5,3,0,3,4,5,3,3,0,0,1,0,3,9,61,2
"476",13882441,"F",6,"Alto",5100000,"Especializacion","CASADO","BOGOTA D.C.",43,"0","VISA","I","Nacional",2275145,2,5,5,7,3,7,3,0,0,1,0,5,8,4,4,3,1,1,1,0,0,11,2,1,3,2,77,2
"477",13354535,"F",6,"Alto",5100000,"Especializacion","SOLTERO","ANTIOQUIA",43,"0","MASTER","P","Nacional",13890921,3,2,1,3,1,2,3,3,1,2,4,4,1,10,7,9,8,10,4,0,0,0,1,0,1,0,77,2
"478",5208018,"M",5,"Alto",4800000,"Maestria","SOLTERO","BOGOTA D.C.",43,"0","AMEX","I","Nacional",5016552,2,1,12,11,6,3,2,2,5,9,9,8,12,6,8,5,13,10,11,3,8,5,9,7,17,9,191,2
"479",38010423,"F",4,"Medio",2100000,"Tecnologo","CASADO","ANTIOQUIA",43,"2","VISA","P","Internacional",3532503,3,4,1,1,0,0,2,6,4,4,4,5,11,7,0,0,3,0,0,0,0,0,0,0,0,0,52,2
"480",14213647,"F",4,"Alto",60000000,"Especializacion","CASADO","BOGOTA D.C.",42,"0","VISA","P","Nacional",31042756,2,3,7,3,3,8,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,27,1
"481",8876425,"M",5,"Alto",60000000,"Especializacion","CASADO","BOGOTA D.C.",42,"0","VISA","I","Nacional",39089609,2,2,2,2,2,2,1,3,4,4,0,4,1,0,0,0,1,0,0,2,3,2,0,1,6,1,43,1
"482",11168601,"M",4,"Alto",42000000,"Maestria","UNION LIBRE","BOGOTA D.C.",42,"0","AMEX","I","Nacional",15600477,2,2,4,3,2,8,4,3,5,4,8,13,1,0,2,2,1,1,2,4,4,7,10,3,3,27,123,1
"483",15252779,"M",6,"Alto",39000000,"Especializacion","CASADO","BOGOTA D.C.",42,"0","VISA","P","Nacional",16692606,2,3,18,8,12,13,22,17,8,14,8,19,16,8,21,10,12,15,13,9,19,17,14,16,20,31,363,1
"484",15372317,"M",6,"Alto",33450000,"Maestria","CASADO","BOGOTA D.C.",42,"0","AMEX","I","Nacional",18345013,2,1,5,4,3,2,1,3,4,4,7,4,2,3,1,7,6,4,5,3,0,5,5,5,1,6,91,1
"485",14162953,"F",6,"Alto",33000000,"Especializacion","CASADO","ANTIOQUIA",42,"3","MASTER","P","Nacional",23085452,3,2,1,11,3,2,2,6,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,36,1
"486",20304086,"M",4,"Alto",30000000,"Especializacion","UNION LIBRE","ANTIOQUIA",42,"1","VISA","P","Internacional",62911898,3,13,7,2,2,1,3,7,17,4,14,16,25,17,10,29,22,30,14,26,13,26,14,10,25,35,382,3
"487",18414263,"F",6,"Alto",28500000,"Maestria","UNION LIBRE","BOGOTA D.C.",42,"1","AMEX","I","Nacional",9127621,2,3,8,6,1,2,1,1,5,2,2,4,3,3,3,3,3,3,4,3,4,8,4,6,4,7,93,1
"488",996146,"F",6,"Alto",27000000,"Especializacion","CASADO","VALLE DEL CAUCA",42,"0","MASTER","I","Nacional",1711895,3,3,11,17,19,17,22,18,26,15,19,7,12,7,20,6,7,0,1,0,0,0,0,0,0,0,227,1
"489",7532597,"F",6,"Alto",27000000,"Maestria","SOLTERO","BOGOTA D.C.",42,"0","AMEX","I","Nacional",11567839,2,1,1,6,0,1,1,2,0,0,4,0,1,3,1,1,2,0,0,0,0,0,0,0,0,0,24,1
"490",3975795,"M",5,"Alto",25500000,"Maestria","SOLTERO","BOGOTA D.C.",42,"0","AMEX","I","Nacional",1556096,2,1,10,2,5,1,1,2,3,12,6,5,3,25,14,4,9,10,3,8,7,11,12,10,3,7,174,1
"491",4617121,"F",5,"Alto",24000000,"Pregrado","CASADO","BOGOTA D.C.",42,"0","VISA","I","Nacional",8801984,2,4,2,2,2,4,0,3,2,3,0,2,2,1,2,0,1,1,5,1,4,4,4,0,4,4,57,1
"492",1699239,"F",6,"Alto",24000000,"Maestria","CASADO","BOGOTA D.C.",42,"0","AMEX","I","Nacional",85595846,2,2,1,6,0,2,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,22,3
"493",16206286,"F",5,"Alto",24000000,"Especializacion","SOLTERO","ANTIOQUIA",42,"0","MASTER","P","Nacional",13098165,3,7,35,36,34,38,24,39,22,27,33,37,47,41,25,31,31,37,52,51,37,72,71,66,55,43,991,1
"494",14223435,"F",5,"Alto",21000000,"Especializacion","CASADO","ANTIOQUIA",42,"0","VISA","P","Internacional",34132297,3,1,5,1,0,5,0,0,5,5,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,29,1
"495",25628338,"M",4,"Alto",21000000,"Especializacion","UNION LIBRE","ANTIOQUIA",42,"1","VISA","P","Nacional",96022782,3,25,18,22,36,20,27,36,10,9,4,9,5,1,0,0,0,2,23,4,10,3,10,6,4,0,284,3
"496",11692429,"F",6,"Alto",19500000,"Especializacion","CASADO","BOGOTA D.C.",42,"0","VISA","P","Nacional",4416413,2,18,44,24,20,8,19,15,10,15,16,18,11,16,19,18,16,22,16,17,31,22,21,11,12,7,446,2
"497",31444,"F",4,"Alto",18000000,"Maestria","CASADO","BOGOTA D.C.",42,"0","AMEX","I","Nacional",3888727,2,3,5,2,3,9,10,5,5,5,6,7,3,0,2,1,3,1,5,1,0,0,0,0,0,0,76,2
"498",3676849,"F",6,"Alto",18000000,"Maestria","CASADO","BOGOTA D.C.",42,"0","AMEX","I","Nacional",10834065,2,17,22,6,7,9,8,12,22,32,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,2
"499",7307021,"F",5,"Alto",18000000,"Pregrado","CASADO","BOGOTA D.C.",42,"0","VISA","I","Nacional",35940463,2,7,26,8,5,10,18,4,2,10,4,10,8,5,12,33,16,27,28,24,19,9,21,21,39,42,408,1
"500",16413468,"M",5,"Alto",18000000,"Maestria","UNION LIBRE","VALLE DEL CAUCA",42,"0","AMEX","I","Nacional",13145373,2,10,19,16,13,12,12,12,11,13,16,11,20,13,9,11,13,18,7,18,14,20,5,13,8,14,328,2
"501",13560636,"M",5,"Alto",18000000,"Especializacion","SOLTERO","BOGOTA D.C.",42,"0","VISA","P","Nacional",11860628,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
"502",11301597,"F",4,"Alto",18000000,"Especializacion","VIUDO","BOGOTA D.C.",42,"2","VISA","I","Nacional",28418504,2,4,1,4,3,0,5,0,1,1,2,0,0,3,3,4,5,6,2,1,1,2,2,1,3,2,56,1
"503",4660780,"F",4,"Alto",13500000,"Maestria","SOLTERO","BOGOTA D.C.",42,"0","VISA","P","Nacional",13503703,2,10,4,4,3,1,1,3,3,1,3,3,11,11,6,5,7,2,3,3,3,2,2,8,9,14,122,2
