Cliente_Id;Sexo;Estrato;Segmento;Rango de ingresos;Nivel de estudio;Estado civil;Departamento;Edad;Hijos  ;Franquicia;Canal: Presente/No presente;Origen: Nacional /Internacional;Monto transado;Reclamos realizados;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906
440037;-1;-1;-1; 31,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;16,014,483; 3 ;1;4;1;;;;;;;;;;;;;;;;;;;;;;
27985768;-1;-1;-1; 20,700,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;1,607,678; 3 ;8;14;3;8;10;4;;;;1;1;5;7;;1;15;6;5;1;;1;;2;1;
17301210;-1;-1;-1; 39,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;42,303,235; 3 ;1;1;2;3;;3;4;3;2;2;1;1;3;2;4;4;5;7;1;3;3;3;5;9;4
44846941;-1;-1;-1; 18,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;6,459,983; 3 ;3;14;15;12;13;;;;;;3;4;10;5;16;2;;;4;7;3;2;1;;1
6616652;M;5;3; 31,500,000 ;-1;C;15649; 70 ;2;1;P;Nacional;17,201,189; 3 ;1;2;3;5;3;3;2;2;1;5;;;;;;;;;;;;;2;;
34162383;F;-1;-1; 3,600,000 ;-1;-1;-1; 5 ;?;1;P;Nacional;4,234,497; 3 ;9;5;2;4;7;2;1;8;6;4;17;2;1;1;4;1;5;;;3;;;;;
23477825;F;-1;-1; 33,000,000 ;-1;-1;-1; 60 ;?;1;P;Nacional;87,356,078; 3 ;6;1;3;6;3;4;1;1;4;11;2;6;6;;7;11;4;9;7;;5;3;7;4;6
40338998;-1;-1;-1; 5,400,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;3,515,002; 3 ;3;3;1;5;1;2;8;7;5;3;3;2;2;4;3;4;2;2;3;3;3;2;2;11;2
2108709;-1;-1;-1; 27,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;16,363,616; 3 ;1;12;1;8;1;5;3;;;1;2;;2;;;1;3;2;1;4;2;;;;
29654440;F;-1;-1; 15,000,000 ;-1;-1;-1; 45 ;?;1;P;Nacional;16,178,944; 3 ;6;10;5;2;5;6;3;5;3;2;2;2;2;2;2;2;3;2;3;1;;;;;
18969882;F;-1;-1; 27,000,000 ;-1;-1;-1; 50 ;?;1;P;Nacional;12,371,117; 3 ;5;4;1;2;;4;4;2;5;;;1;;2;;;8;10;4;;;;;;
46515613;-1;-1;-1; 22,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;20,071,075; 3 ;11;6;15;5;;5;7;3;2;8;;2;1;4;2;5;8;3;7;8;;4;;1;1
8285324;F;-1;-1; 5,400,000 ;-1;-1;-1; 40 ;?;1;P;Nacional;3,067,058; 2 ;4;4;1;4;11;1;1;3;9;4;6;6;3;2;4;5;2;;5;4;19;15;13;6;8
35831055;M;-1;-1; 9,000,000 ;-1;-1;-1; 30 ;?;1;P;Nacional;12,623,097; 2 ;5;1;1;3;1;;1;4;6;3;11;5;10;6;7;6;8;3;4;5;4;18;15;7;10
25146497;-1;-1;-1; 13,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;8,682,753; 2 ;3;33;31;39;26;38;20;29;30;35;47;7;6;;;;;;;;;1;;89;
14461939;M;-1;-1; 4,500,000 ;-1;-1;10294; 46 ;0;1;P;Nacional;3,782,942; 2 ;3;2;1;;2;4;1;;;;;;;;;;;;;;;;;;
