Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx;Recency;Outliers;Mahal Distance
3231754;F;5;Alto;9000000;Pregrado;SOLTERO;BOGOTA D.C.;40;VISA;I;Nacional;3934174;2;2;2;8;3;3;2;3;1;1;1;2;2;3;1;5;3;0;1;0;0;0;0;0;0;0;43;7;0;0.926260946
43837316;F;6;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;40;VISA;P;Internacional;6651688;3;4;18;13;20;13;15;32;18;29;17;30;46;29;49;7;5;17;14;12;19;22;12;4;0;0;445;2;0;14.153.294.087.000.500
22286182;F;6;Alto;9000000;Maestria;CASADO;VALLE DEL CAUCA;39;AMEX;I;Nacional;893630;2;1;5;1;1;0;1;4;1;1;0;4;2;2;4;6;4;8;4;3;13;4;3;5;3;6;86;0;0;10.012.484.584.819.900
25761477;M;6;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;5615926;2;14;4;6;3;6;20;9;5;6;8;12;17;13;9;6;13;15;13;17;5;3;5;9;7;9;234;0;0;0.790097446
16267523;F;6;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;39;MASTER;P;Nacional;8935865;3;2;1;3;2;3;4;1;4;2;3;6;4;2;5;6;6;5;5;3;6;6;5;4;6;4;98;0;0;0.661094074
25254228;M;6;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;Ninguno;Ninguno;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;12.233.044.648.264.000
36404456;F;5;Alto;9000000;Pregrado;CASADO;BOGOTA D.C.;39;VISA;I;Nacional;36909049;2;1;5;10;2;2;5;6;1;2;5;3;12;4;9;6;11;6;20;7;10;0;0;0;0;0;127;5;0;1.349.654.400.536.780
22438958;M;4;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;38;VISA;P;Internacional;315842;3;9;12;6;17;13;10;13;10;15;18;13;18;23;17;17;13;17;11;9;1;11;13;10;0;13;309;0;0;12.099.605.079.751.300
18663432;M;5;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;38;VISA;P;Internacional;11353633;3;1;11;7;4;13;23;11;7;10;12;18;11;0;0;0;0;0;0;2;4;0;0;0;0;0;134;5;0;0.603087825
19809622;M;6;Alto;9000000;Pregrado;CASADO;BOGOTA D.C.;38;VISA;I;Nacional;12902188;2;29;56;52;25;29;39;59;29;30;33;44;45;37;19;45;39;26;2;1;2;1;5;0;0;0;647;3;0;22.385.416.592.873.100
8015111;M;4;Alto;9000000;Especializacion;CASADO;BOGOTA D.C.;38;VISA;P;Internacional;897006;3;2;12;11;5;4;3;16;7;9;20;11;7;19;21;3;0;0;0;0;0;0;0;0;0;0;150;10;0;0.982744306
15676218;F;5;Alto;9000000;Especializacion;CASADO;VALLE DEL CAUCA;38;MASTER;P;Nacional;970481;3;8;3;4;6;10;6;3;2;4;11;7;7;6;10;1;0;0;6;1;0;0;0;0;0;0;95;6;0;10.218.299.306.756.000
10766452;M;5;Alto;9000000;Pregrado;CASADO;BOGOTA D.C.;38;AMEX;I;Nacional;1009976;2;9;9;12;6;5;8;7;10;6;16;8;23;22;14;14;12;10;16;17;7;12;4;13;5;6;271;0;0;1.094.638.020.459.580
18145171;F;6;Alto;9000000;Especializacion;SOLTERO;BOGOTA D.C.;38;VISA;P;Nacional;9324189;2;1;4;6;8;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;18;0;0.893202994
22691553;M;5;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;37;AMEX;I;Nacional;6850538;2;1;1;3;6;4;0;2;2;2;0;0;1;0;16;3;0;0;0;1;0;1;0;9;0;9;61;0;0;0.904281229
18360551;M;6;Alto;9000000;Especializacion;CASADO;BOGOTA D.C.;37;VISA;P;Internacional;9368568;3;1;2;1;0;0;0;1;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;12;0;0.984482933
18670896;M;5;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;37;MASTER;P;Nacional;9707164;3;2;7;3;0;1;0;10;4;6;1;0;1;1;1;1;5;5;3;4;5;2;2;1;2;9;76;0;0;0.797121275
18008627;M;6;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;37;MASTER;P;Nacional;11894185;3;3;5;4;2;4;0;1;1;5;1;2;0;1;2;0;0;0;1;0;1;1;0;0;1;0;35;1;0;0.869700499
26577134;M;4;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;37;AMEX;I;Nacional;24892604;2;1;10;17;6;0;0;0;0;0;0;12;0;0;5;0;0;0;0;5;6;0;0;0;0;0;62;5;0;0.96212761
40477582;F;4;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;37;MASTER;P;Nacional;4745603;3;101;67;7;17;19;21;12;22;43;19;27;3;1;0;0;0;0;0;0;0;0;0;0;0;0;359;12;0;1.233.659.071.933.810
40342302;F;6;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;37;VISA;P;Internacional;5788218;3;10;5;8;4;6;0;1;3;0;4;3;1;2;4;3;2;6;5;1;5;2;6;7;11;9;108;0;0;0.854271528
45622977;M;4;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;37;VISA;P;Nacional;6293013;3;3;4;2;3;3;3;7;2;4;2;2;5;5;8;3;3;2;4;2;3;5;2;2;3;2;84;0;0;0.874398278
17409410;F;4;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;37;VISA;P;Nacional;6420350;3;9;19;9;8;14;8;13;17;18;13;1;6;4;0;0;0;0;0;0;0;0;0;0;0;0;139;12;0;0.802367318
25908503;F;4;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;36;AMEX;I;Nacional;658614;2;1;2;2;0;1;0;7;3;1;6;6;8;9;0;0;1;1;0;6;4;6;2;5;1;9;81;0;0;11.378.741.109.850.900
24410593;F;5;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;36;VISA;P;Internacional;2643909;3;2;2;4;3;2;2;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;17;0;11.711.413.781.862.200
41258634;F;4;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;36;AMEX;Ninguno;Ninguno;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;13.229.294.591.117.800
2399947;F;4;Alto;9000000;Pregrado;SOLTERO;BOGOTA D.C.;36;AMEX;I;Nacional;3153013;2;6;10;1;0;3;0;0;4;9;2;1;3;2;5;12;3;3;6;2;0;0;0;0;0;0;72;6;0;10.543.829.129.402.900
31675322;F;4;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;36;VISA;P;Internacional;3464946;3;6;3;1;1;2;2;3;1;1;1;2;1;1;3;1;2;1;5;2;1;1;2;2;2;1;48;0;0;10.891.772.628.128.300
6968862;M;5;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;36;VISA;P;Internacional;7293342;3;4;5;4;0;2;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;18;0;10.344.324.504.693.400
7905096;F;4;Alto;9000000;Especializacion;CASADO;BOGOTA D.C.;36;VISA;P;Nacional;18399289;2;2;1;1;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;10;4;0;10.043.654.453.429.900
26434941;F;4;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;35;VISA;P;Nacional;130613;2;4;11;7;6;13;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;18;0;124.093.308.934.411
30484535;F;4;Alto;9000000;Especializacion;CASADO;BOGOTA D.C.;35;VISA;P;Internacional;2857853;3;6;15;13;14;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;20;0;11.436.858.596.536.300
20184487;M;5;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;35;AMEX;I;Nacional;3389777;2;6;9;3;6;1;2;0;2;3;7;6;3;7;2;5;5;1;3;0;3;1;0;0;0;0;75;4;0;1.090.400.643.619.710
28559169;F;6;Alto;9000000;Pregrado;CASADO;BOGOTA D.C.;35;VISA;I;Nacional;4268810;2;23;86;1;14;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;20;0;0.997304909
43381495;F;4;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;35;VISA;P;Internacional;4467770;3;4;13;7;9;7;16;12;5;6;3;6;3;4;4;5;4;9;24;15;15;25;16;11;8;14;245;0;0;10.484.983.321.307.400
24307165;M;4;Alto;9000000;Pregrado;CASADO;BOGOTA D.C.;35;AMEX;I;Nacional;14092829;2;6;6;4;5;4;2;4;2;2;3;2;11;3;11;10;3;2;3;1;1;1;1;4;1;2;94;0;0;0.830745324
32437572;F;5;Alto;9000000;Especializacion;CASADO;BOGOTA D.C.;35;VISA;I;Nacional;14424884;2;4;10;5;2;6;2;5;2;2;7;3;0;15;1;4;7;3;3;3;2;8;0;11;9;0;114;1;0;0.799437422
30006650;M;4;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;35;VISA;P;Internacional;41731194;3;4;14;3;0;14;15;3;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;15;0;17.768.166.889.022.400
1902200;M;4;Alto;9000000;Especializacion;CASADO;BOGOTA D.C.;35;VISA;I;Nacional;192212;2;39;32;26;11;20;24;16;1;0;0;0;0;1;0;0;1;1;2;0;0;0;0;0;0;0;174;7;0;11.500.114.378.813.500
47458638;M;4;Alto;9000000;Pregrado;SOLTERO;BOGOTA D.C.;35;VISA;P;Nacional;8056480;4;1;2;3;4;3;3;3;4;2;5;5;12;4;7;5;3;7;15;7;10;12;6;5;3;2;133;0;0;0.876263074
29784357;M;4;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;35;VISA;P;Internacional;1899048;3;1;1;1;1;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;17;0;12.729.133.211.785.200
13458697;F;4;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;35;VISA;P;Internacional;5481827;3;6;9;15;24;15;14;23;28;46;34;24;35;27;16;22;21;22;31;19;12;31;29;20;49;22;594;0;0;2.159.321.577.843.800
30649648;M;6;Alto;9000000;Maestria;SOLTERO;BOGOTA D.C.;35;AMEX;I;Nacional;14399703;2;9;12;9;16;13;8;16;15;18;14;12;10;9;17;7;0;0;1;0;0;0;0;0;0;0;186;7;0;0.771496109
26375132;F;6;Alto;9000000;Maestria;SOLTERO;VALLE DEL CAUCA;34;AMEX;I;Nacional;1257804;2;2;9;1;2;2;1;6;2;2;8;1;1;3;3;1;1;7;1;1;2;0;0;0;0;0;56;5;0;1.247.200.350.393.370
26520322;F;6;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;34;VISA;P;Internacional;2677079;3;4;4;1;3;0;5;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;16;0;12.680.813.623.060.000
39326437;F;4;Alto;9000000;Especializacion;CASADO;CUNDINAMARCA;34;VISA;P;Internacional;10178;3;1;4;1;1;0;0;0;2;3;0;2;2;0;3;1;1;0;4;2;2;2;0;0;0;0;31;4;0;13.380.214.175.974.100
