Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx
14255430;M;6;Alto;30000000;Especializacion;CASADO;BOGOTA D.C.;39;VISA;I;Nacional;23444305;2;16;8;1;1;1;2;5;9;12;2;2;1;1;1;1;1;1;1;1;1;1;1;1;3;1;75
29831442;M;4;Alto;30000000;Especializacion;SOLTERO;BOGOTA D.C.;39;VISA;I;Nacional;10274931;2;1;10;6;5;46;2;6;3;1;1;2;3;8;8;1;14;2;1;1;3;0;0;0;0;0;124
22408187;M;4;Alto;30000000;Maestria;SOLTERO;BOGOTA D.C.;39;AMEX;I;Nacional;11720226;2;9;13;8;11;3;12;13;22;12;8;11;2;64;13;11;28;15;11;6;2;0;0;0;0;0;274
40816027;M;4;Alto;28500000;Especializacion;CASADO;VALLE DEL CAUCA;39;AMEX;I;Nacional;1482144;3;6;9;10;6;19;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;53
19045006;M;4;Alto;28500000;Maestria;CASADO;BOGOTA D.C.;39;VISA;P;Nacional;24373327;2;1;4;3;3;0;3;11;4;2;3;3;1;3;1;3;3;1;4;4;1;2;4;3;1;1;69
15362977;F;6;Alto;28500000;Especializacion;SOLTERO;ANTIOQUIA;39;VISA;P;Internacional;6553786;3;25;87;59;47;25;38;48;49;39;20;44;76;42;1;7;3;4;11;0;0;1;0;8;2;0;636
5449357;F;6;Alto;27000000;Especializacion;SOLTERO;ANTIOQUIA;39;VISA;P;Internacional;14219546;3;4;2;5;2;1;3;1;1;8;5;5;4;3;0;1;6;5;2;3;0;0;0;2;0;1;64
44922065;F;6;Alto;27000000;Maestria;CASADO;BOGOTA D.C.;39;VISA;P;Nacional;38056697;2;3;34;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
382777;F;6;Alto;25500000;Especializacion;SOLTERO;VALLE DEL CAUCA;39;AMEX;I;Nacional;12608752;3;5;4;4;0;8;21;7;5;11;12;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;90
14896634;F;4;Alto;24000000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;10104426;3;1;4;22;20;30;56;38;32;34;34;39;42;29;25;25;34;45;37;19;31;13;2;2;4;1;619
9575257;M;6;Alto;24000000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;27249680;3;5;3;4;16;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54
28714250;M;5;Alto;24000000;Especializacion;CASADO;ANTIOQUIA;39;MASTER;P;Nacional;43760576;3;94;1;15;16;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157
42712946;M;4;Alto;22500000;Especializacion;SOLTERO;ANTIOQUIA;39;MASTER;P;Nacional;2749361;3;2;3;3;4;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
12616877;F;5;Alto;22500000;Pregrado;SOLTERO;BOGOTA D.C.;39;AMEX;I;Nacional;3376379;2;8;5;10;19;9;10;5;8;7;3;11;30;18;19;18;12;23;19;17;2;0;0;0;0;0;253
22308837;F;4;Alto;22500000;Maestria;SOLTERO;BOGOTA D.C.;39;AMEX;I;Nacional;14002825;2;6;4;5;7;7;2;10;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
33084812;M;5;Alto;22500000;Especializacion;SOLTERO;BOGOTA D.C.;39;VISA;I;Nacional;10705991;2;19;30;53;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131
2169763;F;5;Alto;22500000;Especializacion;CASADO;VALLE DEL CAUCA;39;AMEX;I;Nacional;28115449;3;2;2;1;3;3;4;2;0;1;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;26
41132387;F;4;Alto;21900000;Maestria;UNION LIBRE;BOGOTA D.C.;39;VISA;P;Nacional;18552395;2;1;3;1;3;5;4;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
15457147;F;4;Alto;21300000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;7925980;2;6;7;10;15;12;17;6;10;32;28;10;8;27;12;6;3;9;9;14;3;8;3;12;9;0;276
17507128;F;6;Alto;21000000;Pregrado;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;21974730;2;10;14;2;0;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
5547014;F;4;Alto;21000000;Maestria;SOLTERO;BOGOTA D.C.;39;AMEX;I;Nacional;8321403;2;1;12;20;1;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43
11715696;F;6;Alto;21000000;Especializacion;CASADO;BOGOTA D.C.;39;VISA;I;Nacional;17568300;2;2;23;10;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
29637556;F;4;Alto;18000000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;4972634;3;12;8;5;16;9;12;8;14;21;6;16;11;0;0;0;0;0;0;2;0;0;0;0;0;1;141
12383797;F;5;Alto;18000000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;22241876;2;1;2;26;41;42;34;33;42;44;37;47;46;50;48;41;33;26;5;0;0;0;0;0;0;0;598
